"PSLCODE 1250";"9 1";"4 2";"Source Access Key";"Target Access Key"
"EXTRACTED/1/0";"Computer Name";"计算机名称";"";""
"EXTRACTED/2/0";"Issue Date";"签发日期";"";""
"EXTRACTED/3/0";"Keep me logged in";"保持我的登录状态";"";""
"EXTRACTED/4/0";"Maximum computers:";"最多授权计算机数：";"";""
"EXTRACTED/5/0";"Sign-in successful";"登录成功";"";""
"EXTRACTED/6/0";"These computers are currently authorized to use Foxit PDF Editor. Click the X to remove authorization from a listed computer.";"目前这些计算机被授权使用福昕高级PDF编辑器。您可以通过单击X按钮移除某台计算机的授权。";"";""
"EXTRACTED/7/0";"You have not specified your first name and last name. For better user experience, please enter them into your profile now. ";"您还没有指定您的姓名。为了得到更好的用户体验，请现在在您的个人主页中输入姓名。 ";"";""
"EXTRACTED/8/0";"You have not specified your first name and last name. For better user experience, please enter them into your profile now. <a href=""/profile/profile"">[Edit My Profile]</a> ";"您还没有指定您的姓名。为了得到更好的用户体验，请现在在您的个人主页中输入姓名。 <a href=""/profile/profile"">[编辑我的个人主页]</a> ";"";""
"EXTRACTED/9/0";"These devices are currently authorized to use Foxit PDF Editor. Click the X to remove authorization from a listed device.";"目前这些设备被授权使用福昕高级PDF编辑器。您可以通过单击X按钮移除某台设备的授权。";"";""
"EXTRACTED/10/0";"Device Name";"设备名称";"";""
"EXTRACTED/11/0";"Maximum devices:";"最多授权设备数：";"";""
"EXTRACTED/12/0";"Foxit PDF Editor can be used on a maximum of <label style=""color:red""></label> devices and you have reached your maximum number of activations for Foxit PDF Editor. Click ""X"" below to remove authorization from one of the listed devices.";"福昕高级PDF编辑器最多可在<label style=""color:red""></label>台设备上使用，并且您已达到福昕高级PDF编辑器的最大激活次数。点击下面的“X”以从列出的设备之一中删除授权。";"";""
"EXTRACTED/13/0";"You have activated your subscription on this device. Foxit PDF Editor can be used on a maximum of <label style=""color:red"">2</label> devices and you have activated on <label style=""color:red"">1</label> devices. Click ""X"" below to remove authorization from one of the listed devices.";"您已在此设备上激活订阅。福昕高级PDF编辑器最多可在<label style=""color:red"">2</label>台设备上使用，并且您已在<label style=""color:red"">1</label>台设备上激活。点击下面的“X”以从列出的设备之一中删除授权。";"";""
"EXTRACTED/14/0";"These computers are currently authorized to use {productName}. Click the X to remove authorization from a listed computer.";"这些计算机目前被授权使用{productName}。单击“X”以从列出的计算机中删除授权。";"";""
"EXTRACTED/15/0";"{productName} can be used on a maximum of <label style=""color:red""></label> devices and you have reached your maximum number of activations for {productName}. Click ""X"" below to remove authorization from one of the listed devices.";"{productName} 最多可在 <label style=""color:red""></label> 设备上使用，您已达到 {productName} 的最大激活次数。单击下方的“X”以从列出的设备中删除授权。";"";""
"EXTRACTED/16/0";"You have activated your subscription on this device. {productName} can be used on a maximum of <label style=""color:red"">2</label> devices and you have activated on <label style=""color:red"">1</label> devices. Click ""X"" below to remove authorization from one of the listed devices.";"您已在此设备上激活了您的订阅。{productName}最多可在<label style=""color:red"">2</label>台设备上使用，而您已在<label style=""color:red"">1</label>台设备上激活。点击下方的“X”以从列出的设备中删除授权。";"";""
"EXTRACTED/17/0";"Foxit PDF Editor";"福昕高级PDF编辑器";"";""
"EXTRACTED/18/0";"Foxit PDF Editor Linux";"福昕版式软件Linux版";"";""
"EXTRACTED/19/0";"Your trial has expired. Please contact your administrator for assistance.";"您的试用期已过。请联系您的管理员以获取帮助。";"";""
"EXTRACTED/20/0";"Document has been deleted";"文档已经被删除";"";""
"EXTRACTED/21/0";"Document homepage permission request has been approved";"文档的主页权限请求已经被批准";"";""
"EXTRACTED/22/0";"Document homepage permission request has been rejected";"文档的主页权限请求已经被拒绝";"";""
"EXTRACTED/23/0";"Document permission request has been approved";"文档的权限请求已经被批准";"";""
"EXTRACTED/24/0";"Document permission request has been re-sent";"文档的权限请求已经被重新发送";"";""
"EXTRACTED/25/0";"Document permission request has been rejected";"文档的权限请求已经被拒绝";"";""
"EXTRACTED/26/0";"Document request has been re-sent";"文档请求已经被重新发送";"";""
"EXTRACTED/27/0";"Document request rejected";"文档请求已经被拒绝";"";""
"EXTRACTED/28/0";"Document sent";"文档已经发送";"";""
"EXTRACTED/29/0";"Error: Access token not valid.";"错误：访问令牌不合法。";"";""
"EXTRACTED/30/0";"Error: Missing parameter";"错误：参数缺失";"";""
"EXTRACTED/31/0";"Error: You are not the owner of this document.";"错误：您不是该文档的所有者。";"";""
"EXTRACTED/32/0";"Failed to add permission(s).";"添加权限失败。";"";""
"EXTRACTED/33/0";"Failed to approve document homepage permission request";"无法批准文档主页权限请求";"";""
"EXTRACTED/34/0";"Failed to approve document permission request";"无法批准文档权限请求";"";""
"EXTRACTED/35/0";"Failed to change ownership";"无法更改所有权关系";"";""
"EXTRACTED/36/0";"Failed to delete document";"无法删除文档";"";""
"EXTRACTED/37/0";"Failed to delete user permissions";"无法删除用户权限";"";""
"EXTRACTED/38/0";"Failed to edit homepage permissions";"无法编辑主页权限";"";""
"EXTRACTED/39/0";"Failed to reject document homepage permission request";"无法拒绝文档主页权限请求";"";""
"EXTRACTED/40/0";"Failed to reject document permission request";"无法拒绝文档权限请求";"";""
"EXTRACTED/41/0";"Failed to reject document request";"无法拒绝文档请求";"";""
"EXTRACTED/42/0";"Failed to request file";"无法请求文件";"";""
"EXTRACTED/43/0";"Failed to request homepage permission(s)";"无法请求主页权限";"";""
"EXTRACTED/44/0";"Failed to resend document homepage permission request";"无法重新发送文档主页权限请求";"";""
"EXTRACTED/45/0";"Failed to resend document permission request";"无法重新发送文档权限请求";"";""
"EXTRACTED/46/0";"Failed to resend document request";"无法重新发送文档请求";"";""
"EXTRACTED/47/0";"Failed to resend notice of document homepage request";"无法重新发送文档主页请求通知";"";""
"EXTRACTED/48/0";"Failed to resend notice of document permission request";"无法重新发送文档权限请求通知";"";""
"EXTRACTED/49/0";"Failed to resend notice of document request";"无法重新发送文档请求通知";"";""
"EXTRACTED/50/0";"Failed to revoke all permission(s) of all users";"无法撤销所有用户的所有权限";"";""
"EXTRACTED/51/0";"Failed to revoke the permission(s) of the selected user";"无法撤销选定用户的权限";"";""
"EXTRACTED/52/0";"Failed to send document";"无法发送文档";"";""
"EXTRACTED/53/0";"Failed to transfer ownership";"无法转移所有权关系";"";""
"EXTRACTED/54/0";"File requested";"文件请求";"";""
"EXTRACTED/55/0";"Homepage permission request has been re-sent";"主页权限请求已经重新发送";"";""
"EXTRACTED/56/0";"Message does not exist.";"信息不存在。";"";""
"EXTRACTED/57/0";"Ownership has been changed";"所有权关系已经被更改";"";""
"EXTRACTED/58/0";"Ownership transferred successfully";"所有权关系成功转移";"";""
"EXTRACTED/59/0";"Permissions have been revoked";"权限已被撤销";"";""
"EXTRACTED/60/0";"Permissions request denied.";"权限请求被拒绝。";"";""
"EXTRACTED/61/0";"Permissions request successfully approved.";"权限请求成功被批准。";"";""
"EXTRACTED/62/0";"Please sign in first.";"请先登录。";"";""
"EXTRACTED/63/0";"Request recipient has been notified";"请求已经通知了请求接收者";"";""
"EXTRACTED/64/0";"Success";"成功";"";""
"EXTRACTED/65/0";"The current system account is connected to your company's account. You cannot change the password. Please use your enterprise system to change the password.";"当前系统账户与您公司的账户相连接。您不能更改密码。请使用您的企业系统更改密码。";"";""
"EXTRACTED/66/0";"The owner has been changed, please request permissions again.";"所有者已更改，请重新请求权限。";"";""
"EXTRACTED/67/0";"The permission type has been changed.";"权限类型已经被更改了。";"";""
"EXTRACTED/68/0";"The user that uploaded this file has deleted it. Contact them if you need the file.";"文件上传者已经删除了此文件。如果您需要该文件，请联系他们。";"";""
"EXTRACTED/69/0";"There has been no activity recorded for this document yet.";"该文档尚且没有活动记录。";"";""
"EXTRACTED/70/0";"This action has already been processed.";"该操作已经被处理了。";"";""
"EXTRACTED/71/0";"This document has not been recorded on the server. Please try again, or contact support@foxitsoftware.com if the error persists.";"该文档尚且没有服务器上的记录。请重试，或者如果错误持续存在，请联系support@foxitsoftware.com。";"";""
"EXTRACTED/72/0";"This user has not been registered.";"该用户未注册。";"";""
"EXTRACTED/73/0";"Unknown error";"未知错误";"";""
"EXTRACTED/74/0";"You are not given permission for this.  Please contact owner of the document.";"您未被赋予该操作的权限。请联系文档的所有者。";"";""
"EXTRACTED/75/0";"You cannot change ownership to yourself.";"您无法更改所有权关系给您自己。";"";""
"EXTRACTED/76/0";"You cannot modify other users' records.";"您无法更改其它用户的记录。";"";""
"EXTRACTED/77/0";"You do not have permission for this.  Please contact the owner of this document.";"您没有该操作的权限。请联系文档的所有者。";"";""
"EXTRACTED/78/0";"You have changed the owner of this document, so you don't need to deal with this message.";"您已经更改了文档所有者，所以您不需要处理该消息。";"";""
"EXTRACTED/79/0";"Password changes are not supported.";"不支持更改密码。";"";""
"EXTRACTED/80/0";"Confirm Password";"确认密码";"";""
"EXTRACTED/81/0";"Email";"邮件地址";"";""
"EXTRACTED/82/0";"First Name";"姓氏";"";""
"EXTRACTED/83/0";"Last Name";"名字";"";""
"EXTRACTED/84/0";"Last Name should contain at most 300 characters. ";"名字最多只可以输入300个字符。 ";"";""
"EXTRACTED/85/0";"Last Name should contain at most 50 characters. ";"名字最多只可以输入50个字符。 ";"";""
"EXTRACTED/86/0";"No more than 300 characters";"不超过300个字符";"";""
"EXTRACTED/87/0";"No more than 50 characters";"不超过50个字符";"";""
"EXTRACTED/88/0";"Password";"密码";"";""
"EXTRACTED/89/0";"Captcha";"验证码";"";""
"EXTRACTED/90/0";"Password cannot contain spaces.";"密码不能包含空格。";"";""
"EXTRACTED/91/0";"The password consists of 8~16 digits, uppercase and lowercase letters and special symbols (1~8 keyboard symbols).";"密码8~16位，由数字、大小字母及特殊符号（1~8键盘符号）组成。";"";""
"EXTRACTED/92/0";"Two password should be matched";"2个密码应该一致";"";""
"EXTRACTED/93/0";"8~16 digits, uppercase and lowercase letters and special symbols (1~8 keyboard symbols).";"8~16位，由数字、大小字母及特殊符号（1~8键盘符号）组成。";"";""
"EXTRACTED/94/0";"Failed to send email to {message}. We'll try again later.";"邮件未成功发送至{message}。稍后将重新尝试。";"";""
"EXTRACTED/95/0";"Please check that email can not be delivered to {address}.";"请检查邮件是否无法发送到{address}。";"";""
"EXTRACTED/96/0";"Email is not found. Please verify it and try again.";"邮件地址找不到。请确认后重试。";"";""
"EXTRACTED/97/0";"Unsupported Internet Explorer version detected. Some features may not work properly. Upgrade to IE 10 or newer for an optimal experience.";"检测到所使用的为不支持的IE版本。部分功能可能无法正常工作。请升级到IE 10或者更高版本，以便获取更好的体验。";"";""
"EXTRACTED/98/0";"The password should contain a mixture of numbers, letters, and symbols.";"密码应包含数字，字母和符号。";"";""
"EXTRACTED/99/0";"Foxit Cloud";"福昕云";"";""
