"PSLCODE 1250";"9 1";"4 2";"Source Access Key";"Target Access Key"
"18472FC3/1/0";"This plugin allows users to run a series of commands on the selected file, and configure actions to use later.";"该插件允许用户在选定的文件上运行一系列的命令，并配置稍后使用的动作。";;
"18472FC3/2/0";"Copyright ? 2010-2026 Foxit Software Inc. All Rights Reserved.";"2010-2026 福昕软件 版权所有。";;
"18472FC3/3/0";"Untitled";"无标题";;
"18472FC3/4/0";"Action Name:";"动作名：";;
"18472FC3/5/0";"Run Action";"运行动作";;
"18472FC3/6/0";"Action is running, please try again.";"动作向导正在运行，请稍后重试。";;
"18472FC3/7/0";"Canceled";"已取消";;
"18472FC3/8/0";"Command Finish Time";"命令结束时间";;
"18472FC3/9/0";"Command Name";"命令名称";;
"18472FC3/10/0";"Command Status";"命令状态";;
"18472FC3/11/0";"Command Start Time";"命令启动时间";;
"18472FC3/12/0";"(copy)";"(副本)";;
"18472FC3/13/0";"Set current open file as the default";"将当前打开的文件设为默认";;
"18472FC3/14/0";"Default option";"默认选项";;
"18472FC3/15/0";"Done";"完成";;
"18472FC3/16/0";"Edit Action - %s";"编辑动作- %s";;
"18472FC3/17/0";"Failed";"失败";;
"18472FC3/18/0";"\\n#File Name";"\\n#文件名称";;
"18472FC3/19/0";"#File Status";"#文件状态";;
"18472FC3/20/0";"Action Files(*.sequ)|*.sequ||";"动作文件(*.sequ)|*.sequ||";;
"18472FC3/21/0";"Could not read the action file:\\n";"无法读取动作文件：\\n";;
"18472FC3/22/0";"Image Files (*.bmp,*.dib,*.jpg,*.jpeg,*.jpe,*.gif,*.tif,*.tiff,*.png)|*.bmp;*.dib;*.jpg;*.jpeg;*.jpe;*.gif;*.tif;*.tiff;*.png|";"图像文件(*.bmp,*.dib,*.jpg,*.jpeg,*.jpe,*.gif,*.tif,*.tiff,*.png)|*.bmp;*.dib;*.jpg;*.jpeg;*.jpe;*.gif;*.tif;*.tiff;*.png|";;
"18472FC3/23/0";"%s doesn&apos;t exist!\\r\\nPlease choose again!";"%s不存在！\\r\\n请重新选择！";;
"18472FC3/24/0";"Files to be processed";"要处理的文件";;
"18472FC3/25/0";"Add Files";"添加文件";;
"18472FC3/26/0";"Add Folder";"添加文件夹";;
"18472FC3/27/0";"Add Open Files";"添加打开的文件";;
"18472FC3/28/0";"&quot;&quot;%s&quot;&quot; Invalid file format.";"“%s”不合法的文件格式。";;
"18472FC3/29/0";"Move File Down";"向下移动文件";;
"18472FC3/30/0";"Move File Up";"向上移动文件";;
"18472FC3/31/0";"The name field is empty, please enter action name.";"名称域为空，请输入动作名。";;
"18472FC3/32/0";"Unable to import the action: %s\\nThe file either invalid or corrupt.";"无法导入动作：%s\\n文件不合法或者被损坏。";;
"18472FC3/33/0";"There is no action available. You can go to &quot;&quot;Create New Action&quot;&quot; to create.";"没有可用动作。您可以进入“创建新动作”进行创建。";;
"18472FC3/34/0";"The action is not complete for this document. Are you sure you want to exit it?";"该文档的动作尚未完成。您确定您想要退出？";;
"18472FC3/35/0";"Failed to open the document.";"打开文档失败。";;
"18472FC3/36/0";"&quot;&quot;%s%[1]&quot;&quot; is opened in other Foxit PDF Editor windows. Do you want to close the document and continue the action?";"“%s%[1]”在其他福昕高级PDF编辑器的窗口中已被打开了。您是否想要关闭该文档并继续该动作？";;
"18472FC3/37/0";"There are open documents in the current action file list. Do you want to close these documents before starting the action?";"有一些打开的文件包含在当前动作列表中。您是否想要在启动动作前关闭这些文档？";;
"18472FC3/38/0";"Cannot open a New Action while an existing Action is still processing. Please wait until the existing action processing has completed.";"因为有其他动作正在运行，无法打开新动作。请等待当前动作结束。";;
"18472FC3/39/0";"Pause";"暂停";;
"18472FC3/40/0";"Prompt User";"提示用户";;
"18472FC3/41/0";"Remove File";"移除文件";;
"18472FC3/42/0";"  \\nThe file already exists. Replace existing file?";"  \\n该文件已经存在。是否要替换已有文件？";;
"18472FC3/43/0";"Resume";"继续";;
"18472FC3/44/0";"Create New Action";"创建新动作";;
"18472FC3/45/0";"Manage Actions";"管理动作";;
"18472FC3/46/0";"Run Action";"运行动作";;
"18472FC3/71/0";"Action";"动作";;
"18472FC3/47/0";"Action Wizard";"动作向导";;
"18472FC3/48/0";"Save As";"另存为";;
"18472FC3/49/0";"Do you want to save changes?";"您是否想要保存修改？";;
"18472FC3/50/0";"Skipped";"跳过";;
"18472FC3/51/0";"Specify Settings";"指定的设置";;
"18472FC3/52/0";"Start";"开始";;
"18472FC3/53/0";"Stop";"停止";;
"18472FC3/54/0";"You need to save this document before adding to the list. Do you want to save it?";"在添加到列表之前，您需要保存此文档。\n您是否想要保存它？";;
"18472FC3/55/0";"Converting...";"正在转换...";;
"18472FC3/56/0";"Name";"名称";;
"18472FC3/57/0";"Date";"日期";;
"18472FC3/58/0";"Don&apos;t show again";"不再显示";;
"18472FC3/59/0";"Can&apos;t find the action file. It may be renamed or deleted. Please check it in:";"未找到动作文件。它可能被重命名或者删除。 请检查：";;
"18472FC3/60/0";"Success";"成功";;
"18472FC3/61/0";"This action has unsaved changes. Are you sure you want to discard changes?";"该动作存在未保存的修改。您确定您想要放弃这些修改？";;
"18472FC3/62/0";"Default option:";"默认选项：";;
"18472FC3/63/0";"Are you sure you want to delete this Action?";"您确认您想要删除此动作？";;
"18472FC3/64/0";"Are you sure you want to delete this Command?";"您确认您想要删除此命令？";;
"18472FC3/65/0";"Edit Custom Command";"编辑自定义命令";;
"18472FC3/66/0";"XML files*.xml";"XML文件*.xml";;
"18472FC3/67/0";"Please select a Action !";"请选择动作！";;
"18472FC3/68/0";"Please select a Command !";"请选择命令！";;
"18472FC3/69/0";"Please select Command and Action !";"请选择命令和动作！";;
"18472FC3/70/0";"Run Command";"运行命令";;
"18472FC3/72/0";"Actions List";"动作列表";;
"18472FC3/73/0";"Actions";"动作";;
"18472FC3/74/0";"Create or Manage Custom Actions";"创建或管理自定义动作";;
"18472FC3/75/0";"Create Custom Actions";"创建自定义动作";;
"18472FC3/76/0";"Manage Custom Actions";"管理自定义动作";;
"18472FC3/77/0";"Choose tools to add:";"选择要添加的工具：";;
"18472FC3/78/0";"Action steps to show:";"要显示的动作步骤：";;
"18472FC3/79/0";"Add or Edit Label";"添加或编辑标签";;
"18472FC3/80/0";"Panel Name";"面板名";;
"18472FC3/81/0";"Instruction:";"说明：";;
"18472FC3/82/0";"Set current open file as the default";"将当前打开的文件设为默认";;
"18472FC3/83/0";"Add";"添加";;
"18472FC3/84/0";"Add Panel";"添加面板";;
"18472FC3/85/0";"Add Instruction";"添加说明";;
"18472FC3/86/0";"Add Divider";"添加间隔";;
"18472FC3/87/0";"Move Up";"上移";;
"18472FC3/88/0";"Move Down";"下移";;
"18472FC3/89/0";"Remove";"移除";;
"18472FC3/90/0";"Edit";"编辑";;
"18472FC3/91/0";"Rename";"重命名";;
"18472FC3/92/0";"Copy";"复制";;
"18472FC3/93/0";"Import";"导入";;
"18472FC3/94/0";"Export";"导出";;
"18472FC3/95/0";"Create";"创建";;
"18472FC3/96/0";"Manage";"管理";;
"18472FC3/97/0";"Save Action";"保存动作";;
"18472FC3/98/0";"Action Name";"动作名";;
"18472FC3/99/0";"Action Description";"动作描述";;
"18472FC3/100/0";"OK";"确定";;
"18472FC3/101/0";"Cancel";"取消";;
"18472FC3/102/0";"Select an action";"选择动作";;
"18472FC3/103/0";"Close";"关闭";;
"089D46F8/1/0";"Foxit PDF Editor";"福昕高级PDF编辑器";;
"089D46F8/2/0";"Translate Document";"翻译文档";;
"089D46F8/3/0";"icon";"图标";;
"089D46F8/4/0";"Translate into:";"翻译成：";;
"089D46F8/5/0";"Translate";"翻译";;
"089D46F8/6/0";"Cancel";"取消";;
"089D46F8/7/0";"Dialog";"Dialog";;
"089D46F8/8/0";"Show Original";"显示原文";;
"089D46F8/9/0";"Accept";"接受";;
"089D46F8/10/0";"Intelligent Read";"智能朗读";;
"089D46F8/11/0";"Reading Mode:";"朗读模式：";;
"089D46F8/12/0";"Reading Voice:";"朗读语音：";;
"089D46F8/13/0";"Speed:";"速度：";;
"089D46F8/14/0";"Preview Voice";"预览语音";;
"089D46F8/15/0";"Foxit Ai Assistant";"福昕 AI 助手";;
"08A116E3/1/0";"AI Assistant lets users harness our AI document processing power to speed up text processing and enhance work efficiency.\nSupport Center is also integrated to provide support for the product. For Foxit PDF Editor Perpetual Releases, only the Support Center function is supported if this plugin is turned on.";"AI 助手允许用户解锁我们的 AI 文档处理功能的强大功能，以加速文本处理并提高工作效率。\n还集成了支持中心，为产品提供支持。对于福昕高级PDF编辑器永久版本，如果启用此插件，则仅启用支持中心功能。";;
"08A116E3/2/0";"Copyright ? 2023-2026 Foxit Software Inc. All Rights Reserved.";"2023-2026 福昕软件 版权所有。";;
"08A116E3/92/0";"Ask AI";"询问 AI";;
"08A116E3/156/0";"The program is automatically logging in. Please try again later.";"程序正在自动登录。请稍后重试。";;
"08A116E3/17/0";"Support Center";"支持中心";;
"08A116E3/3/0";"AI Assistant";"AI助手";;
"08A116E3/107/0";"Create bookmarks instantly with AI";"使用 AI 立即创建书签";;
"08A116E3/106/0";"AI Bookmark";"AI 书签";;
"08A116E3/198/0";"AI will parse the document structure to create bookmarks. It may contain inaccuracies. For reference only.";"AI 将解析文档结构以创建书签。它可能包含不准确的信息。仅供参考。";;
"08A116E3/199/0";"Generate Now";"立即生成";;
"08A116E3/108/0";"Generating bookmarks...";"正在生成书签...";;
"08A116E3/93/0";"Buy Now";"立即购买";;
"08A116E3/122/0";"Chat with your documents to extract key insights and generate summaries.";"与您的文档进行聊天以提取关键见解并生成摘要。";;
"08A116E3/218/0";"Your chat history with the selected document will be deleted. This operation cannot be undone.";"您与所选文档的聊天记录将被删除。该操作无法撤销。";;
"08A116E3/219/0";"Delete";"删除";;
"08A116E3/148/0";"Ask &quot;%ls&quot; in AI Chat";"在AI聊天中询问“%ls”";;
"08A116E3/149/0";"Summarize Document";"总结文档";;
"08A116E3/94/0";"AI Chat";"AI 聊天";;
"08A116E3/95/0";"Sorry, you&apos;ve completely exhausted the %d credits for this month. Please wait until the credits are reset next month to use the AI features again.";"抱歉，您已用完本月的 %d 额度。请等到下个月额度重置后才能再次使用 AI 功能。";;
"08A116E3/123/0";"You are out of AI credits. Please contact enterprise administrator to unlock access to AI features.";"您的 AI 额度已用完。请联系企业管理员解锁对 AI 功能的访问权限。";;
"08A116E3/178/0";"Your %s%[1] monthly credits are exhausted and will reset on %s%[2]. If you need more credits, please contact your enterprise administrator.";"您每月的%s%[1]额度已用完，将在%s%[2]重置。如果您需要更多的额度，请联系您的企业管理员。";;
"08A116E3/146/0";"Code: %d. An error occurred.";"错误码：%d。发生错误。";;
"08A116E3/120/0";"This operation is being performed too frequently. Please wait %d seconds before trying again.";"此操作执行过于频繁。请等待 %d 秒后再重试。";;
"08A116E3/117/0";"Sorry, illegal contents were detected in the document. Please remove them and try again.";"抱歉，文档中检测到非法内容。请删除它们并重试。";;
"08A116E3/147/0";"Translation failed: Document contains restricted content.";"翻译失败：文档包含限制内容。";;
"08A116E3/176/0";"Inputs could violate our terms of service. Please remove them and try again.";"输入可能违反我们的服务条款。请删除它们并重试。";;
"08A116E3/177/0";"Outputs review failed. Please adjust your inputs and try again.";"输出审核失败。请调整您的输入并重试。";;
"08A116E3/115/0";"An unexpected network error occurred. Please try again later.";"发生意外网络错误。请稍后重试。";;
"08A116E3/114/0";"The network is not stable, please try again later.";"网络不稳定，请稍后重试。";;
"08A116E3/119/0";"Sorry, the file size exceeds the limit of %d pages. Please modify and try again later.";"抱歉，文件大小超出了 %d 页的限制。请修改后重试。";;
"08A116E3/118/0";"Sorry, the file size exceeds the limit of %dMB. Please modify and try again later.";"抱歉，文件大小超出%dMB的限制。请修改后重试。";;
"08A116E3/116/0";"An unexpected error occurred. Please try again later.";"发生意外错误。请稍后重试。";;
"08A116E3/96/0";"AI Feature";"AI 功能";;
"08A116E3/97/0";"Read documents aloud with realistic AI voice";"用逼真的 AI 声音朗读文件";;
"08A116E3/98/0";"Intelligent Read";"智能朗读";;
"08A116E3/99/0";"Translate your document into multiple languages with ease";"轻松将您的文档翻译成多种语言";;
"08A116E3/100/0";"Translate Document";"翻译文档";;
"08A116E3/157/0";"Required file &quot;%s%[1]&quot; not found, please reinstall %s%[2] to fix this issue.";"找不到所需的文件“%s%[1]”，请重新安装 %s%[2] 以修复此问题。";;
"08A116E3/4/0";"Note";"备注";;
"08A116E3/220/0";"\nFile not found.\nCheck if the file was moved, renamed, or deleted.";"\n文件未找到。\n请检查文件是否被移动、重命名或删除。";;
"08A116E3/12/0";"All Supported Files|*.pdf;*.jpg;*.png|PDF Files (*.pdf)|*.pdf|Image Files (*.jpg; *.png)||";"全部可支持的文件|*.pdf;*.jpg;*.png|PDF文件 (*.pdf)|*.pdf|图像文件(*.jpg; *.png)||";;
"08A116E3/217/0";"PDF Files (*.pdf)|*.pdf||";"PDF 文件(*.pdf)|*.pdf||";;
"08A116E3/121/0";"Accept";"接受";;
"08A116E3/124/0";"Processing document...";"正在处理文档...";;
"08A116E3/125/0";"The document is a scanned image. The current edition does not support this feature.";"该文档是扫描图像。当前版本不支持此功能。";;
"08A116E3/101/0";"Sorry, your current country/region does not support AI features.";"抱歉，您当前的国家/地区不支持AI功能。";;
"08A116E3/126/0";"The document is a scanned image. OCR is required before translation can be performed.";"该文档是扫描图像。在进行翻译之前需要OCR。";;
"08A116E3/73/0";"The command execute failed. ";"命令执行失败。 ";;
"08A116E3/72/0";"Sorry, you do not have permission to access this document.";"抱歉，您没有权限访问该文档。";;
"08A116E3/39/0";"Sorry, this operation is currently not supported.";"抱歉，目前不支持此操作。";;
"08A116E3/131/0";"Your subscription has expired. Please resubscribe to unlock access to AI features.";"您的订阅已过期。请重新续订后解锁对 AI 功能的访问权限。";;
"08A116E3/195/0";"Translated by Foxit AI Assistant.";"由福昕 AI 助手翻译。";;
"08A116E3/102/0";"%ls (to %ls)";"%ls（到%ls）";;
"08A116E3/103/0";"Arabic/Chinese (Simplified)/Chinese (Traditional)/Dutch/English/Filipino/French/German/Gujarati/Haitian Creole/Hebrew/Hungarian/Indonesian/Italian/Japanese/Korean/Pashto/Polish/Portuguese/French (Canada)/Romanian/Russian/Spanish/Thai/Urdu/Vietnamese";"阿拉伯语/中文（简体）/中文（繁体）/荷兰语/英语/菲律宾语/法语/德语/古吉拉特语/海地克里奥尔语/希伯来语/匈牙利语/印度尼西亚语/意大利语/日语/韩语/普什图语/波兰语/葡萄牙语/法语（加拿大）/罗马尼亚语/俄语/西班牙语/泰语/乌尔都语/越南语";;
"08A116E3/154/0";"Chinese (Simplified)/Chinese (Traditional)/English/Dutch/Filipino/French/German/Indonesian/Italian/Japanese/Korean/Portuguese/Spanish";"简体中文/繁体中文/英语/荷兰语/菲律宾语/法语/德语/印尼语/意大利语/日语/韩语/葡萄牙语/西班牙语";;
"08A116E3/104/0";"Local Language (%ls)";"本地语言 (%ls)";;
"08A116E3/150/0";"Partial content not translated.";"部分内容未翻译。";;
"08A116E3/204/0";"Translation finished.";"翻译完成。";;
"08A116E3/152/0";"Translated: %d/%d pages";"已翻译：%d/%d 页";;
"08A116E3/205/0";"Translated by AI: %d/%d pages";"由 AI 翻译： %d/%d 页";;
"08A116E3/153/0";"All pages have been translated.";"所有页面均由AI翻译。";;
"08A116E3/206/0";"All pages translated by AI. For reference only.";"AI 生成的回复仅供参考。";;
"08A116E3/196/0";"The AI-generated response is for reference only.";"AI 生成的响应仅供参考。";;
"08A116E3/127/0";"Translating to %ls...";"正在翻译为 %ls...";;
"08A116E3/197/0";"Translated by AI. For reference only.";"AI 翻译，仅供参考。";;
"08A116E3/128/0";"This might take a few seconds.";"这可能需要几秒钟。";;
"08A116E3/129/0";"The translation has not been completed. Do you want to save changes to &apos;%ls&apos; before closing?";"翻译尚未完成。关闭前是否要保存对“%ls”的更改？";;
"08A116E3/130/0";"The translation has not been completed. Do you want to continue saving?";"翻译尚未完成。是否继续保存？";;
"08A116E3/105/0";"You are out of AI credits. Please subscribe to unlock access to AI features.";"您的 AI 额度已用完。请订阅以解锁对 AI 功能的访问权限。";;
"08A116E3/141/0";"Analyzing document structure...";"正在分析文档结构...";;
"08A116E3/113/0";"Cancel";"取消";;
"08A116E3/112/0";"Add to end";"添加至末尾";;
"08A116E3/111/0";"Overwrite";"覆盖";;
"08A116E3/110/0";"The file already contains bookmarks. Would you like the newly generated bookmarks to overwrite the original ones or be added at the end of the bookmark list? You can choose to Overwrite or Add to end.";"该文件已包含书签。您希望新生成的书签覆盖原有书签，还是添加到书签列表末尾？您可以选择“覆盖”或“添加到末尾”。";;
"08A116E3/132/0";"Sorry, unable to create new bookmarks from structure.";"对不起，无法从结构创建新书签。";;
"08A116E3/24/0";"Instant answers to your product questions via AI";"通过人工智能即时解答您的产品问题";;
"08A116E3/188/0";"Failed to add the MCP server. Please check the request logs to determine the cause of the failure.";"添加 MCP 服务器失败。请检查请求日志以确定失败原因。";;
"08A116E3/189/0";"Failed to connect to the MCP server. Please check the request logs to determine the cause of the failure.";"无法连接到 MCP 服务器。请检查请求日志以确定失败原因。";;
"08A116E3/190/0";"The specified MCP server does not exist. Please check the request logs to determine the cause of the failure.";"指定的 MCP 服务器不存在。请检查请求日志以确定失败的原因。";;
"08A116E3/191/0";"MCP Manager";"MCP 管理器";;
"08A116E3/23/0";"All Supported Files(*.*)|*.pdf;*.txt;*.text;*.htm;*.html;*.shtml;*.bmp;*.dib;*.jpg;*.jpeg;*.jpe;*.gif;*.tif;*.tiff;*.png;*.wps;*.doc;*.rtf;*.docx;*.dot;*.dotx;*.docm;*.dotm;*.ppt;*.pptx;*.pot;*.potx;*.pptm;*.ppsx;*.ppsm;*.potm;*.xls;*.xlt;*.xlsx;*.xltx;*.xlsm;*.xlsb;*.xltm;*.vsd;*.mpp;*.dwg;*.dxf;*.dwt;*.dwf;*.dst;*.mp3;*.swf;*.mp4;*.jpf;*.jpx;*.jp2;*.j2k;*.j2c;*.jpc|";"所有可支持文件类型(*.*)|*.pdf;*.txt;*.text;*.htm;*.html;*.shtml;*.bmp;*.dib;*.jpg;*.jpeg;*.jpe;*.gif;*.tif;*.tiff;*.png;*.wps;*.doc;*.rtf;*.docx;*.dot;*.dotx;*.docm;*.dotm;*.ppt;*.pptx;*.pot;*.potx;*.pptm;*.ppsx;*.ppsm;*.potm;*.xls;*.xlt;*.xlsx;*.xltx;*.xlsm;*.xlsb;*.xltm;*.vsd;*.mpp;*.dwg;*.dxf;*.dwt;*.dwf;*.dst;*.mp3;*.swf;*.mp4;*.jpf;*.jpx;*.jp2;*.j2k;*.j2c;*.jpc|";;
"08A116E3/74/0";"The fill &amp; sign tool has been activated for you. Please select or create a signature from the ribbon to get started.";"已为您激活“填写&amp;签名”工具。请从功能区中选择或创建签名以开始使用。";;
"08A116E3/75/0";"The Security Policy tool has been opened for you, where you can manage security policy.";"已为您打开“安全策略”工具，您可以在其中管理安全策略。";;
"08A116E3/79/0";"I can help you with this if you can give me more detailed color specifications. For example: &quot;#faf9de&quot;";"如果您能给我更详细的颜色规格，我可以帮你。例如： &quot;#faf9de&quot;";;
"08A116E3/80/0";"The &quot;Edit Object&quot; tool has been enabled for you. Please select the object you want to edit and continue.";"“编辑对象”工具已为您启用。请选择要编辑的对象并继续。";;
"08A116E3/81/0";"The &quot;Edit Text&quot; tool has been enabled for you. Please select the paragraph you want to edit and continue.";"“编辑文本”工具已为您启用。请选择要编辑的段落并继续。";;
"08A116E3/82/0";"Sorry, this operation only supports FDF, XFDF, or JSON file formats.";"抱歉，该操作仅支持FDF，XFDF或者JSON文件格式。";;
"08A116E3/83/0";"The keyword &quot;%ls&quot; you input cannot be found in this document.";"您输入的关键字 “%ls” 在本文档中找不到。";;
"08A116E3/76/0";"The article box panel has been opened for you, where you can edit or delete article box.";"已为您打开“文章框”面板，您可以在其中编辑或删除文章框。";;
"08A116E3/77/0";"There are no page templates";"没有页面模板";;
"08A116E3/78/0";"There are no links to the web on this page.";"当前页面中不存在网页链接。";;
"08A116E3/109/0";"Cancelling?";"正在取消…";;
"08A116E3/138/0";"Hello, welcome to Foxit Editor";"您好，欢迎使用福昕编辑器";;
"08A116E3/158/0";"Rewind 10 seconds";"倒退10秒";;
"08A116E3/139/0";"Code: %ls. An error occurred, please try again later.";"错误码：%ls。发生错误，请稍后重试。";;
"08A116E3/159/0";"Exit";"退出";;
"08A116E3/134/0";"Read From Current Page";"从当前页开始朗读";;
"08A116E3/160/0";"Start reading aloud from the current page onward";"从当前页面开始大声朗读";;
"08A116E3/133/0";"Read Full Text";"朗读全文";;
"08A116E3/161/0";"Read the entire document aloud from start to finish";"从头到尾朗读整个文档";;
"08A116E3/162/0";"Fast-forward 10 seconds";"快进10秒";;
