"PSLCODE 1250";"9 1";"4 2";"Source Access Key";"Target Access Key"
"021808EC/65/0";"resource.h";"resource.h";;
"021808EC/66/0";"afxres.h";"afxres.h";;
"021808EC/67/0";"verrsrc.h";"verrsrc.h";;
"021808EC/9/0";"Remember me";"记住我";;
"021808EC/10/0";"Sign in";"登录";;
"021808EC/11/0";"Cancel";"取消";;
"021808EC/12/0";"Can not sign in?";"不能登录？";;
"021808EC/13/0";"Password:";"密码：";;
"021808EC/14/0";"Welcome to ASUS WebStorage, your personal cloud space.";"欢迎使用ASUS WebStorage，您的私有云空间。";;
"021808EC/15/0";"WebStorage ID:";"WebStorage账户：";;
"021808EC/20/0";"ASUS WebStorage";"ASUS WebStorage";;
"021808EC/21/0";"WEBSTORAGE";"WEBSTORAGE";;
"021808EC/22/0";"Tools";"工具";;
"021808EC/23/0";"Product";"产品";;
"021808EC/24/0";"Upload";"上传";;
"021808EC/25/0";"Delete";"删除";;
"021808EC/26/0";"Refresh";"刷新";;
"021808EC/27/0";"Support";"支持";;
"021808EC/28/0";"Upgrade";"升级";;
"021808EC/29/0";"Store your files to access them from anywhere";"储存您的文件使其可以在任何地方进行访问";;
"021808EC/30/0";"Upload files to WebStorage";"上传文件至WebStorage";;
"021808EC/31/0";"Delete files from WebStorage";"从WebStorage删除文件";;
"021808EC/32/0";"Refresh the file list";"刷新文件列表";;
"021808EC/33/0";"Get online support";"获取在线支持";;
"021808EC/34/0";"Upgrade your account";"升级账户";;
"021808EC/35/0";"Go back to the parent folder";"返回至上级文件夹";;
"021808EC/36/0";"Sign out";"退出";;
"021808EC/37/0";"Download";"下载";;
"021808EC/38/0";"Delete";"删除";;
"021808EC/39/0";"All files";"所有文件";;
"021808EC/40/0";"Uploading...";"正在上传...";;
"021808EC/41/0";"Downloading...";"正在下载...";;
"021808EC/42/0";"Could not %s%[1] due to a network error.\r\nPlease check your network connection or contact the server administrator.\r\nThe error code is %d%[2].";"由于网络错误不能%s%[1]。\r\n请检查您的网络链接或者联系服务器管理员。\r\n错误码是 %d%[2]。";;
"021808EC/43/0";"Could not %s%[1] due to a server error.\r\nPlease contact the server administrator. \r\nThe status code is %d%[2].";"由于服务器错误不能%s%[1]。\n请联系服务器管理员。 \n状态码是%d%[2]。";;
"021808EC/44/0";"sign in";"登录";;
"021808EC/45/0";"retrive the folder information";"检索文件夹信息";;
"021808EC/46/0";"download the file";"下载文件";;
"021808EC/47/0";"upload the file";"上传文件";;
"021808EC/48/0";"remove the item(s)";"移除这些条目";;
"021808EC/49/0";"You did not select any items. Please choose at least one file to delete.";"您没有选择任何条目。请至少选择一个要删除的文件。";;
"021808EC/50/0";"The WebStorage ID or Password is not correct. Please try again.";"WebStorage账户或者密码不正确，请重新输入。";;
"021808EC/51/0";"Are you sure you want to delete the selected item(s)?";"您确认您想要删除所选择的条目？";;
"021808EC/62/0";"Please enter WebStorage ID and Password to sign in.";"请输入WebStorage账户和密码进行登录。";;
"021808EC/52/0";"Foxit Software Inc.";"福建福昕软件开发股份有限公司";;
"021808EC/53/0";"ASUS WebStorage plug-in.";"ASUS WebStorage 插件。";;
"021808EC/54/0";"9.1.0.306";"9.1.0.306";;
"021808EC/55/0";"AsusWebstorage.dll";"AsusWebstorage.dll";;
"021808EC/56/0";"Copyright ? 2015-2025 Foxit Software Inc. All Rights Reserved.";"2015-2025 福昕软件 版权所有。";;
"021808EC/57/0";"AsusWebstorage.dll";"AsusWebstorage.dll";;
"021808EC/58/0";"ASUS WebStorage plug-in.";"ASUS WebStorage 插件。";;
"021808EC/59/0";"9.1.0.306";"9.1.0.306";;
"00F17C09/395/0";"resource.h";"resource.h";;
"00F17C09/396/0";"afxres.h";"afxres.h";;
"00F17C09/199/0";"Add Dictionaries";"添加字典";;
"00F17C09/201/0";"&OK";"确定(&O)";"O";"O"
"00F17C09/202/0";"&Cancel";"取消(&C)";"C";"C"
"00F17C09/302/0";"Insert 3D";"插入3D";;
"00F17C09/358/0";"Are you sure that this file is from a trustworthy source and you want to convert it?";"您确定该文件来自可信赖的来源，并且要转换吗？";;
"00F17C09/359/0";"&File: ";"文件(&F):";"F";"F"
"00F17C09/307/0";"Br&owse...";"浏览(&O)...";"O";"O"
"00F17C09/309/0";"Show &Advanced Options";"显示高级选项(&A)";"A";"A"
"00F17C09/310/0";"OK";"确定";;
"00F17C09/311/0";"Cancel";"取消";;
"00F17C09/334/0";" Activation Settings ";"激活设置";;
"00F17C09/335/0";"Ena&ble When:";"启用条件(&B)：";"B";"B"
"00F17C09/337/0";"&Disable When:";"停用条件(&D)：";"D";"D"
"00F17C09/339/0";"&Playback Style:";"回放类型(&P)：";"P";"P"
"00F17C09/341/0";"&Width:";"宽度(&W)：";"W";"W"
"00F17C09/344/0";"&Height:";"高度(&H)：";"H";"H"
"00F17C09/365/0";" Appearance ";"外观";;
"00F17C09/348/0";"Bo&rder Width:";"边框宽度(&R)：";"R";"R"
"00F17C09/350/0";"&Transparent Background";"透明类型(&T)";"T";"T"
"00F17C09/366/0";" Poster Image ";"海报图像";;
"00F17C09/352/0";"&Keep current poster";"保持当前海报(&K)";"K";"K"
"00F17C09/353/0";"Retrie&ve poster from default view";"从默认视图检索海报(&V)";"V";"V"
"00F17C09/371/0";"&Create poster from file";"从文件创建海报(&C)";"C";"C"
"00F17C09/355/0";"Poster File:";"海报文件：";;
"00F17C09/357/0";"Brow&se...";"浏览(&S)...";"S";"S"
